Date,Views
2023-11-10,9202
2023-11-11,9179
2023-11-12,8524
2023-11-13,8160
2023-11-14,8323
2023-11-15,8496
2023-11-16,8791
2023-11-17,8156
2023-11-18,9181
2023-11-19,7568
2023-11-20,26507
2023-11-21,23231
2023-11-22,11825
2023-11-23,10558
2023-11-24,9583
2023-11-25,9061
2023-11-26,9108
2023-11-27,8591
2023-11-28,8052
2023-11-29,7312
2023-11-30,7297
2023-12-01,6752
2023-12-02,7517
2023-12-03,7428
2023-12-04,7063
2023-12-05,7372
2023-12-06,7774
2023-12-07,9481
