Date,Views
11/10/2023,9202
11/11/2023,9179
11/12/2023,8524
11/13/2023,8160
11/14/2023,8323
11/15/2023,8496
11/16/2023,8791
11/17/2023,8156
11/18/2023,9181
11/19/2023,7568
11/20/2023,26507
11/21/2023,23231
11/22/2023,11825
11/23/2023,10558
11/24/2023,9583
11/25/2023,9061
11/26/2023,9108
11/27/2023,8591
11/28/2023,8052
11/29/2023,7312
11/30/2023,7297
12/1/2023,6752
12/2/2023,7517
12/3/2023,7428
12/4/2023,7063
12/5/2023,7372
12/6/2023,7774
12/7/2023,9481
